country,last_name,first_name,wikipedia_url,first_paragraph
be,Verhofstadt,Guy,https://nl.wikipedia.org/wiki/Guy_Verhofstadt,"Guy Maurice Marie-Louise Verhofstadt  (Dendermonde, 11 april 1953) is een Belgisch politicus voor de Open Vlaamse Liberalen en Democraten (Open Vld). Hij was premier van België van 12 juli 1999 tot 20 maart 2008 in drie regeringen. Hij beëindigde zijn actieve politieke carrière in het Europees Parlement, waar hij van 2009 tot 2019 fractieleider van de Alliantie van Liberalen en Democraten voor Europa (ALDE) was.
"
be,Leterme,Yves,https://nl.wikipedia.org/wiki/Yves_Leterme,"Yves Camille Désiré Leterme (Wervik, 6 oktober 1960) is een voormalig Belgisch politicus. Hij was onder meer Vlaams minister-president en premier van België. Hij was lang boegbeeld van de CD&V en boegbeeld van het toenmalige kartel CD&V/N-VA.
"
be,None,Herman,https://nl.wikipedia.org/wiki/Herman_Van_Rompuy,"Herman Achille graaf Van Rompuy (Etterbeek, 31 oktober 1947) is een Belgische politicus van de christendemocratische partij CD&V. Hij was tussen 30 december 2008 en 25 november 2009 de premier van België en van 1 januari 2010 tot en met 30 november 2014 voorzitter van de Europese Raad, in de media vaak incorrect 'president van Europa' genoemd. Op 19 november 2009 werd bekendgemaakt dat hij was verkozen tot de eerste permanente voorzitter en op 1 maart 2012 werd Van Rompuy met algemene stemmen door de 27 staatshoofden en regeringsleiders van de EU voor een tweede mandaat benoemd. Na deze termijn was hij niet meer herkiesbaar.
"
be,Delacroix,Léon,https://nl.wikipedia.org/wiki/L%C3%A9on_Delacroix,"Léon Fréderic Gustave Delacroix (Sint-Joost-ten-Node, 27 december 1867 – Baden-Baden, 15 oktober 1929) was een Belgisch katholiek politicus. De Léon Delacroixstraat in Anderlecht en het metrostation Delacroix werden naar hem vernoemd.
"
be,Carton,Henry,https://nl.wikipedia.org/wiki/Henri_Carton_de_Wiart,"Henri Victor Marie Ghislain Carton de Wiart (Brussel, 31 januari 1869 – Ukkel, 6 mei 1951) (ook als ""Henry"" vermeld) was een Belgische politicus. Hij was premier van 1920 tot 1921.
"
be,Theunis,Georges,https://nl.wikipedia.org/wiki/Georges_Theunis,"Georges Emile Pierre Léonard Theunis (Montegnée, 28 februari 1873 – Brussel, 4 januari 1966) was een Belgisch industrieel en politicus van de Katholieke Partij.
"
be,Van de Vyvere,Aloïs,https://nl.wikipedia.org/wiki/Aloys_Van_de_Vyvere,"Aloys Jean Maria Joseph Van de Vyvere (Tielt, 8 juni 1871 - Parijs, 22 oktober 1961) was een Belgisch katholiek volksvertegenwoordiger en minister.
"
be,Poullet,Prosper,https://nl.wikipedia.org/wiki/Prosper_Poullet,"Prosper Antoine Marie Joseph burggraaf Poullet (Leuven, 5 maart 1868 - 3 december 1937) was een Belgisch politicus.
"
be,Jaspar,Henri,https://nl.wikipedia.org/wiki/Henri_Jaspar,"Henri Jaspar (Schaarbeek, 28 juli 1870 - Sint-Gillis, 15 februari 1939) was een Belgisch katholiek politicus, die twee keer premier van België was.
"
be,None,Jules,https://nl.wikipedia.org/wiki/Jules_Renkin,"Jules Laurent Jean Louis Renkin (Elsene, 3 december 1862 - Brussel, 15 juli 1934) was een Belgisch katholiek politicus.
"
be,Van Zeeland,Paul,https://nl.wikipedia.org/wiki/Paul_van_Zeeland,"Paul Guillaume van Zeeland (Zinnik, 11 november 1893 – Brussel, 22 september 1973) was een Belgisch advocaat, econoom, katholiek politicus en staatsman.
"
be,Van Acker,Achille,https://nl.wikipedia.org/wiki/Achiel_Van_Acker,"Achille Honoré (Achiel) Van Acker uitspraakⓘ (Brugge, 8 april 1898 – aldaar, 10 juli 1975) was een Belgisch socialistisch politicus. Hij was viermaal premier van België.
"
be,Huysmans,Camille,https://nl.wikipedia.org/wiki/Camille_Huysmans,"Jean Joseph Camille Huysmans (ook Kamiel Huysmans genoemd) (Bilzen, 26 mei 1871 - Antwerpen, 25 februari 1968), geboren als Camiel Hansen, was een Belgisch journalist en socialistisch politicus voor de BWP / BSP.
"
be,Eyskens,Gaston,https://nl.wikipedia.org/wiki/Gaston_Eyskens,"Gaston François Marie burggraaf Eyskens (Lier, 1 april 1905 – Leuven, 3 januari 1988) was een Belgisch econoom, hoogleraar aan de Katholieke Universiteit Leuven en christendemocratisch politicus. Hij was driemaal eerste minister in de periode tussen 1949 en 1973. Hij was de eerste Belgische regeringsleider die geboren was in de 20e eeuw.
"
be,Tindemans,Leo,https://nl.wikipedia.org/wiki/Leo_Tindemans,"Leonard Clemence (Leo) Tindemans (Zwijndrecht, 16 april 1922 – Edegem, 26 december 2014) was een Belgisch politicus voor de CVP  en minister van staat. Hij was eerste minister van twee regeringen in België (periode van 25 april 1974 tot 20 oktober 1978) en behaalde het grootste aantal voorkeurstemmen in de Belgische geschiedenis bij de Europese verkiezingen van 1979. Daardoor kreeg hij de bijnaam ""de man van 1 miljoen stemmen"".
"
be,Di Rupo,Elio,https://nl.wikipedia.org/wiki/Elio_Di_Rupo,"Elio Di Rupo (Morlanwelz, 18 juli 1951) is een Belgische politicus voor de Parti Socialiste (PS). Van 6 december 2011 tot 11 oktober 2014 was hij premier van België en werd meermaals minister en minister-president van de Waalse Regering.
"
be,Dehaene,Jean-Luc,https://nl.wikipedia.org/wiki/Jean-Luc_Dehaene,"Jean Luc Joseph Marie Dehaene uitspraakⓘ (Montpellier, 7 augustus 1940 – Quimper, 15 mei 2014) was van 1992 tot 1999 premier van België. Hij was lid van de toenmalige CVP (nu CD&V). Onder zijn regering werd België een volwaardige federale staat. Dehaene leidde twee coalitieregeringen met de socialisten en bekleedde verschillende ministerposten voor hij in 1992 eerste minister werd. Van 2000 tot 2007 was hij burgemeester van Vilvoorde. In 2002 werd hij voorgedragen als vicevoorzitter van de Europese Conventie.
"
be,Schollaert,Frans,https://nl.wikipedia.org/wiki/Frans_Schollaert,"François Victor Marie Ghislain (Frans) Schollaert (Wilsele, 19 augustus 1851 - Sainte-Adresse, 25 juni 1917) was een Belgisch katholiek politicus.
"
be,Decker,Pieter,https://nl.wikipedia.org/wiki/Pieter_de_Decker,"Pierre Jacques François (Pieter) de Decker (Zele, 25 januari 1812 - Schaarbeek, 4 januari 1891) was een Belgisch politicus en auteur.
"
be,Spaak,Paul-Henri,https://nl.wikipedia.org/wiki/Paul-Henri_Spaak,"Paul-Henri Charles Spaak uitspraakⓘ (Schaarbeek, 25 januari 1899 - Eigenbrakel, 31 juli 1972) was een Belgisch socialistisch politicus en regeringsleider.
"
be,Beernaert,Auguste,https://nl.wikipedia.org/wiki/Auguste_Beernaert,"Auguste Marie François (August) Beernaert (Oostende, 26 juli 1829 – Luzern, 6 oktober 1912) was een Belgisch katholiek politicus en mensenrechtenactivist. In 1909 won hij de Nobelprijs voor de Vrede.
"
